phase,signature,dataset,model_type,width_factor,depth,poison_ratio,poison_type,alpha,data_ordering,aggregator,batch_size,mean_test_acc,std_test_acc,mean_test_loss,std_test_loss,mean_val_acc,std_val_acc,mean_val_loss,std_val_loss,num_parameters,best_epoch,seed
exp1_vary_width,mnist|lr|1|1|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.0,label_flip,100.0,shuffle,fedavg,128,0.4104,0.0,1.5159196014404297,0.0,0.437,0.0,1.503154375076294,0.0,807,68,42
exp1_vary_width,mnist|cnn|64|16|0.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.0,random_noise,100.0,shuffle,fedavg,128,0.9949,0.0,0.0255324488651007,0.0,0.9935,0.0,0.035517458046476,0.0,557258,48,42
exp1_vary_width,mnist|lr|1|1|0.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.0,random_noise,100.0,shuffle,fedavg,128,0.4172,0.0,1.525164616203308,0.0,0.4365,0.0,1.5026825669606527,0.0,807,69,42
exp1_vary_width,mnist|cnn|64|16|0.25|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.25,label_flip,100.0,shuffle,fedavg,128,0.9935,0.0,0.0928405770659446,0.0,0.9931666666666666,0.0,0.1667396337985992,0.0,557258,49,42
exp1_vary_width,mnist|lr|1|1|0.25|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.25,label_flip,100.0,shuffle,fedavg,128,0.4142,0.0,1.6312209812164309,0.0,0.4236666666666667,0.0,1.632212457338969,0.0,807,58,42
exp1_vary_width,mnist|cnn|64|16|0.25|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.25,random_noise,100.0,shuffle,fedavg,128,0.9946,0.0,0.0993422416687011,0.0,0.9933333333333332,0.0,0.1568557418584823,0.0,557258,55,42
exp1_vary_width,mnist|lr|1|1|0.25|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.25,random_noise,100.0,shuffle,fedavg,128,0.4119,0.0,1.6271949575424194,0.0,0.4201666666666667,0.0,1.6480252513885498,0.0,807,48,42
exp1_vary_width,mnist|lr|1|1|0.5|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.5,label_flip,100.0,shuffle,fedavg,128,0.1044,0.0,2.4452529407501222,0.0,0.114,0.0,2.490298038482666,0.0,807,0,42
exp1_vary_width,mnist|lr|1|1|0.5|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.5,random_noise,100.0,shuffle,fedavg,128,0.1177,0.0,2.469867516326904,0.0,0.1143333333333333,0.0,2.4809983228047687,0.0,807,0,42
exp1_vary_width,mnist|cnn|64|16|0.5|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.5,label_flip,100.0,shuffle,fedavg,128,0.9675,0.0,0.6728239760398865,0.0,0.968,0.0,0.7157110199928284,0.0,557258,37,42
